name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_happiness,base_total,capture_rate,classification,defense,height_m,hp,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
Ekans,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,70,288,255,Snake,44,2,35,50,23,40,54,55,poison,,6.9,1,0
Arbok,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,70,448,90,Cobra,69,3.5,60,50,24,65,79,80,poison,,65,1,0
Pikachu,"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,70,320,190,Mouse,40,0.4,35,50,25,50,50,90,electric,,6,1,0
Raichu,"['Static', 'Lightningrod', 'Surge Surfer']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,70,485,75,Mouse,50,,60,50,26,95,85,110,electric,electric,,1,0
Sandshrew,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,70,300,255,Mouse,90,,50,50,27,10,35,40,ground,ice,,1,0
Sandslash,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,70,450,90,Mouse,120,,75,50,28,25,65,65,ground,ice,,1,0
Nidoran♀,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,70,275,235,Poison Pin,52,0.4,55,0,29,40,40,41,poison,,7,1,0
Nidorina,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,70,365,120,Poison Pin,67,0.8,70,0,30,55,55,56,poison,,20,1,0
Nidoqueen,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,70,505,45,Drill,87,1.3,90,0,31,75,85,76,poison,ground,60,1,0
Nidoran♂,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,70,273,235,Poison Pin,40,0.5,46,100,32,40,40,50,poison,,9,1,0
Nidorino,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,70,365,120,Poison Pin,57,0.9,61,100,33,55,55,65,poison,,19.5,1,0
Nidoking,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,70,505,45,Drill,77,1.4,81,100,34,85,75,85,poison,ground,62,1,0
Clefairy,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,140,323,150,Fairy,48,0.6,70,24.6,35,60,65,35,fairy,,7.5,1,0
Clefable,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,140,483,25,Fairy,73,1.3,95,24.6,36,95,90,60,fairy,,40,1,0
Vulpix,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,70,299,190,Fox,40,,38,24.6,37,50,65,65,fire,ice,,1,0
Ninetales,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,70,505,75,Fox,75,,73,24.6,38,81,100,109,fire,ice,,1,0
Jigglypuff,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,70,270,170,Balloon,20,0.5,115,24.6,39,45,25,20,normal,fairy,5.5,1,0
Wigglytuff,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,70,435,50,Balloon,45,1,140,24.6,40,85,50,45,normal,fairy,12,1,0
Zubat,"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,70,245,255,Bat,35,0.8,40,50,41,30,40,55,poison,flying,7.5,1,0
Golbat,"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,70,455,90,Bat,70,1.6,75,50,42,65,75,90,poison,flying,55,1,0
Oddish,"['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,70,320,255,Weed,55,0.5,45,50,43,75,65,30,grass,poison,5.4,1,0
Gloom,"['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,70,395,120,Weed,70,0.8,60,50,44,85,75,40,grass,poison,8.6,1,0
Vileplume,"['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,70,490,45,Flower,85,1.2,75,50,45,110,90,50,grass,poison,18.6,1,0
Paras,"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,70,285,190,Mushroom,55,0.3,35,50,46,45,55,25,bug,grass,5.4,1,0
Parasect,"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,70,405,75,Mushroom,80,1,60,50,47,60,80,30,bug,grass,29.5,1,0
Venonat,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,70,305,190,Insect,50,1,60,50,48,40,55,45,bug,poison,30,1,0
Venomoth,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,70,450,75,Poison Moth,60,1.5,70,50,49,90,75,90,bug,poison,12.5,1,0
Diglett,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,70,265,255,Mole,30,,10,50,50,35,45,90,ground,ground,,1,0
Dugtrio,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,70,425,50,Mole,60,,35,50,51,50,70,110,ground,ground,,1,0
Meowth,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,70,290,255,Scratch Cat,35,,40,50,52,50,40,90,normal,dark,,1,0
Persian,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,70,440,90,Classy Cat,60,,65,50,53,75,65,115,normal,dark,,1,0
Psyduck,"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,70,320,190,Duck,48,0.8,50,50,54,65,50,55,water,,19.6,1,0
Golduck,"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,70,500,75,Duck,78,1.7,80,50,55,95,80,85,water,,76.6,1,0
Mankey,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,70,305,190,Pig Monkey,35,0.5,40,50,56,35,45,70,fighting,,28,1,0
Primeape,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,70,455,75,Pig Monkey,60,1,65,50,57,60,70,95,fighting,,32,1,0
Growlithe,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,70,350,190,Puppy,45,0.7,55,75.4,58,70,50,60,fire,,19,1,0
Arcanine,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,70,555,75,Legendary,80,1.9,90,75.4,59,100,80,95,fire,,155,1,0
Poliwag,"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,70,300,255,Tadpole,40,0.6,40,50,60,40,40,90,water,,12.4,1,0
Poliwhirl,"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,70,385,120,Tadpole,65,1,65,50,61,50,50,90,water,,20,1,0
Poliwrath,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,70,510,45,Tadpole,95,1.3,90,50,62,70,90,70,water,fighting,54,1,0
Abra,"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,70,310,200,Psi,15,0.9,25,75.4,63,105,55,90,psychic,,19.5,1,0
Kadabra,"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,70,400,100,Psi,30,1.3,40,75.4,64,120,70,105,psychic,,56.5,1,0
Alakazam,"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,70,600,50,Psi,65,1.5,55,75.4,65,175,105,150,psychic,,48,1,0
Machop,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,70,305,180,Superpower,50,0.8,70,75.4,66,35,35,35,fighting,,19.5,1,0
Machoke,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,70,405,90,Superpower,70,1.5,80,75.4,67,50,60,45,fighting,,70.5,1,0
Machamp,"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,70,505,45,Superpower,80,1.6,90,75.4,68,65,85,55,fighting,,130,1,0
Bellsprout,"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,70,300,255,Flower,35,0.7,50,50,69,70,30,40,grass,poison,4,1,0
Weepinbell,"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,70,390,120,Flycatcher,50,1,65,50,70,85,45,55,grass,poison,6.4,1,0
Victreebel,"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,70,490,45,Flycatcher,65,1.7,80,50,71,100,70,70,grass,poison,15.5,1,0
Tentacool,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,70,335,190,Jellyfish,35,0.9,40,50,72,50,100,70,water,poison,45.5,1,0
Tentacruel,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,70,515,60,Jellyfish,65,1.6,80,50,73,80,120,100,water,poison,55,1,0
Geodude,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,70,300,255,Rock,100,,40,50,74,30,30,20,rock,ground,,1,0
Graveler,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,70,390,120,Rock,115,,55,50,75,45,45,35,rock,ground,,1,0
Golem,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,70,495,45,Megaton,130,,80,50,76,55,65,45,rock,ground,,1,0
Ponyta,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,70,410,190,Fire Horse,55,1,50,50,77,65,65,90,fire,,30,1,0
Rapidash,"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,70,500,60,Fire Horse,70,1.7,65,50,78,80,80,105,fire,,95,1,0
Slowpoke,"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,70,315,190,Dopey,65,1.2,90,50,79,40,40,15,water,psychic,36,1,0
Slowbro,"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,70,590,75,Hermit Crab,180,1.6,95,50,80,130,80,30,water,psychic,78.5,1,0
Magnemite,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,70,325,190,Magnet,70,0.3,25,,81,95,55,45,electric,steel,6,1,0
Magneton,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,70,465,60,Magnet,95,1,50,,82,120,70,70,electric,steel,60,1,0
Farfetch'd,"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,70,377,45,Wild Duck,55,0.8,52,50,83,58,62,60,normal,flying,15,1,0
Doduo,"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,70,310,190,Twin Bird,45,1.4,35,50,84,35,35,75,normal,flying,39.2,1,0
Dodrio,"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,70,470,45,Triple Bird,70,1.8,60,50,85,60,60,110,normal,flying,85.2,1,0
Seel,"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,70,325,190,Sea Lion,55,1.1,65,50,86,45,70,45,water,,90,1,0
Dewgong,"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,70,475,75,Sea Lion,80,1.7,90,50,87,70,95,70,water,ice,120,1,0
Grimer,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,70,325,190,Sludge,50,,80,50,88,40,50,25,poison,poison,,1,0
Muk,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,70,500,75,Sludge,75,,105,50,89,65,100,50,poison,poison,,1,0
Shellder,"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,70,305,190,Bivalve,100,0.3,30,50,90,45,25,40,water,,4,1,0
Cloyster,"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,95,70,525,60,Bivalve,180,1.5,50,50,91,85,45,70,water,ice,132.5,1,0
Gastly,['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,35,70,310,190,Gas,30,1.3,30,50,92,100,35,80,ghost,poison,0.1,1,0
Haunter,['Levitate'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,70,405,90,Gas,45,1.6,45,50,93,115,55,95,ghost,poison,0.1,1,0
Gengar,['Cursed Body'],0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,65,70,600,45,Shadow,80,1.5,60,50,94,170,95,130,ghost,poison,40.5,1,0
Onix,"['Rock Head', 'Sturdy', 'Weak Armor']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,45,70,385,45,Rock Snake,160,8.8,35,50,95,30,45,70,rock,ground,210,1,0
Drowzee,"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,48,70,328,190,Hypnosis,45,1,60,50,96,43,90,42,psychic,,32.4,1,0
Hypno,"['Insomnia', 'Forewarn', 'Inner Focus']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,73,70,483,75,Hypnosis,70,1.6,85,50,97,73,115,67,psychic,,75.6,1,0
Krabby,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,70,325,225,River Crab,90,0.4,30,50,98,25,25,50,water,,6.5,1,0
Kingler,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,70,475,60,Pincer,115,1.3,55,50,99,50,50,75,water,,60,1,0
Voltorb,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,30,70,330,190,Ball,50,0.5,40,,100,55,55,100,electric,,10.4,1,0
Electrode,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,70,490,60,Ball,70,1.2,60,,101,80,80,150,electric,,66.6,1,0
Exeggcute,"['Chlorophyll', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,70,325,90,Egg,80,0.4,60,50,102,60,45,40,grass,psychic,2.5,1,0
Exeggutor,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,105,70,530,45,Coconut,85,,95,50,103,125,75,45,grass,psychic,,1,0
Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,70,320,190,Lonely,95,0.4,50,50,104,40,50,35,ground,,6.5,1,0
Marowak,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,80,70,425,75,Bone Keeper,110,,60,50,105,50,80,45,ground,fire,,1,0
Hitmonlee,"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,70,455,45,Kicking,53,1.5,50,100,106,35,110,87,fighting,,49.8,1,0
Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,70,455,45,Punching,79,1.4,50,100,107,35,110,76,fighting,,50.2,1,0
Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,70,385,45,Licking,75,1.2,90,50,108,60,75,30,normal,,65.5,1,0
Koffing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,70,340,190,Poison Gas,95,0.6,40,50,109,60,45,35,poison,,1,1,0
Weezing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,70,490,60,Poison Gas,120,1.2,65,50,110,85,70,60,poison,,9.5,1,0
Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,70,345,120,Spikes,95,1,80,50,111,30,30,25,ground,rock,115,1,0
Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,70,485,60,Drill,120,1.9,105,50,112,45,45,40,ground,rock,120,1,0
Chansey,"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,140,450,30,Egg,5,1.1,250,0,113,35,105,50,normal,,34.6,1,0
Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,70,435,45,Vine,115,1,65,50,114,100,40,60,grass,,35,1,0
Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,125,70,590,45,Parent,100,2.2,105,0,115,60,100,100,normal,,80,1,0
